PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
074rb,r3r1k1/pp1n1p2/2pb1pR1/8/3P4/2P1Bq2/PPQ2P2/2K4R b - - 0 18,f7g6 c2g6 g8f8 h1h7 f3h1 h7h1,2016,76,90,241,crushing long middlegame,https://lichess.org/JctioR5Y/black#36,Caro-Kann_Defense Caro-Kann_Defense_Tartakower_Variation
074wq,8/4R3/5k2/8/5ppP/r7/6P1/6K1 w - - 8 44,e7e2 a3a1 g1f2 g4g3 f2f3 f6f5 e2e8 a1f1 f3e2 f1f2 e2d3 f2g2,2124,110,78,45,crushing endgame rookEndgame veryLong,https://lichess.org/zK9AxcVu#87,
0751z,8/2p4k/1p1pp1p1/p6p/P1q1P3/2N3Q1/1P3r2/K6R b - - 2 34,f2c2 h1g1 c2c1 g1c1,2010,75,88,222,crushing endgame quietMove short,https://lichess.org/szCGDmhz/black#68,
0758S,r3r1k1/1p3ppp/2pp1q1n/7P/p7/5PQ1/PPPB1P2/2K3RR b - - 1 20,a4a3 d2c3 a3b2 c3b2 h6f5 b2f6 f5g3 g1g3,2009,75,85,193,advantage middlegame pin veryLong,https://lichess.org/m4IDrkr3/black#40,
075GU,4r3/ppp2k2/3p2qp/3P1bbN/1PP3p1/2B3Q1/P5PP/5R1K b - - 3 29,e8e3 g3g4 e3c3 f1f5,2046,77,92,224,advantage middlegame pin short,https://lichess.org/a1H93T3u/black#58,
075t1,8/8/1pk1p1p1/3pP1Pp/PK1P3P/8/8/8 b - - 0 38,c6b7 b4b5 b7c7 a4a5 b6a5 b5a5 c7c6 a5a6,2178,77,92,1112,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/1xKnv3zS/black#76,
076Nn,8/5pk1/4pQ1n/3pP2P/3P1K1N/2r3r1/P7/8 b - - 5 35,g7g8 f6h6 g3g1 h4f3 g1f1 h6g5,2190,81,87,195,crushing endgame hangingPiece long,https://lichess.org/NCbU2ay6/black#70,
076Rx,8/8/7R/7P/3p4/4k3/7r/4K3 w - - 1 50,e1d1 h2h1 d1c2 d4d3 c2c3 h1c1,2167,89,66,36,crushing endgame exposedKing long rookEndgame,https://lichess.org/5JmVktUK#99,
076f1,3b4/1p1q3k/p1rP3r/3QBpp1/5P2/1P1R2P1/P5K1/3R4 w - - 2 43,d1h1 c6c2 g2f1 c2c1,2020,171,43,20,crushing master middlegame short,https://lichess.org/8cUM0MVs#85,
076gz,8/8/8/P7/4kp2/K7/1R6/r7 w - - 3 56,b2a2 a1a2 a3a2 e4d5 a5a6 d5c6 a6a7 c6b7 a7a8r b7a8 a2b1 f4f3 b1c2 f3f2,2198,76,84,492,advancedPawn crushing endgame rookEndgame veryLong,https://lichess.org/wdifZPDJ#111,
077FA,4r1k1/pp3ppp/1q6/2b5/2Bn1Bb1/5N2/PP3PPP/RN1Q2K1 w - - 0 16,d1a4 d4f3 g2f3 e8e1,2014,75,87,124,advantage kingsideAttack middlegame short,https://lichess.org/whckPZGq#31,Italian_Game Italian_Game_Two_Knights_Defense
077SA,2kr2r1/pppb1pQ1/7p/8/2B1n2q/2P1B3/P4PPP/RN2R1K1 w - - 5 17,g7h6 g8g2 g1g2 d7h3,2088,77,92,7179,attraction crushing kingsideAttack middlegame sacrifice short,https://lichess.org/Z5R8ESNE#33,Italian_Game Italian_Game_Evans_Gambit
077ct,r2qr1k1/1p2bppp/p3b3/2ppP1N1/P2n4/2NPB1Q1/1PP3PP/R4RK1 b - - 7 15,d4c2 g5e6 f7e6 e3h6 g7g5 g3f2 g8h8 f2c2,2097,75,87,391,advantage clearance middlegame pin veryLong,https://lichess.org/MlR58udY/black#30,Sicilian_Defense Sicilian_Defense_Closed
077jO,6k1/3B1pbp/1p3nn1/p5pq/Q2PP3/5P2/P3NPKP/2B5 w - - 2 30,e4e5 g6h4 g2f1 h5f3,2009,75,81,219,advantage deflection middlegame short,https://lichess.org/hmeM0iv8#59,
077mq,r6r/pp3Qp1/2n2p1k/q7/2p4P/5nPN/PB3P2/R3RK2 b - - 5 27,f3e1 b2f6 g7f6 f7f6,2152,104,89,1024,crushing middlegame short,https://lichess.org/HWIcVbmK/black#54,
077rS,6k1/5pp1/2p4p/1pP4q/1P1RPQb1/6P1/5P1P/6K1 w - - 2 38,g1g2 g4h3 g2g1 h5e2 f4c1 e2f3 c1f1 h3f1,2118,77,92,887,clearance crushing endgame veryLong,https://lichess.org/7suF00Eq#75,
078lR,8/5pp1/p1Q2bkp/3Np3/4P1P1/q7/5PKP/8 b - - 0 31,a6a5 c6d7 g6h7 d5f6 g7f6 d7f7 h7h8 f7f6,2079,126,28,19,advantage endgame veryLong,https://lichess.org/lni9sJaX/black#62,
07AUs,2kr3r/pp4p1/2p3p1/8/3P1qn1/2P1R3/PP4B1/R1BQ2K1 w - - 8 24,e3f3 h8h1 g2h1 f4h2 g1f1 h2h1,2011,75,93,3944,crushing deflection exposedKing kingsideAttack long middlegame sacrifice,https://lichess.org/ejxp8dRo#47,
07Aft,5rk1/p1p3p1/1p1pp1r1/4b1qp/4Q3/6P1/PPP1NP1P/3R1RK1 b - - 1 21,h5h4 f2f4 g5g4 h2h3 g4f5 e4f5,2060,86,61,51,advantage fork long middlegame,https://lichess.org/tseURxkj/black#42,
07Al6,6r1/8/R2bpk2/2p1p2p/1pP1P2P/1P1N1P2/4K3/8 b - - 2 49,g8g2 e2f1 g2d2 a6d6 f6e7 f1e1,2031,75,96,6919,crushing defensiveMove endgame long master,https://lichess.org/6kRSNWTM/black#98,
